page,text,text_x,text_y,font,font_size,rect_x,rect_y,rect_width,rect_height,stroke_color,fill_color,line_width
1,"",0.0,0.0,,0.0,,,,,,,
1,SCHOOL REPORT CARD,210.84,820.0,F1,15.0,,,,,,,
1,UDISE CODE,29.0,804.5,F1,7.5,27.0,802.5,81.15,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,33  12  01  01  401,110.15,804.5,F1,7.5,108.15,802.5,108.2,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,School Name,218.35,804.5,F1,7.5,216.35,802.5,81.15,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,CARMEL GARDEN MATRICULATION HIGHER SECONDARY SCHOOL,299.5,804.5,F1,7.5,297.5,802.5,270.5,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,State,29.0,793.0,F2,7.5,27.0,791.0,81.15,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,Tamilnadu,110.15,793.5,F2,7.0,108.15,791.0,108.2,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,District,218.35,793.0,F2,7.5,216.35,791.0,81.15,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,COIMBATORE,299.5,793.5,F2,7.0,297.5,791.0,108.2,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Block,407.7,793.0,F2,7.5,405.7,791.0,54.1,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,COIMBATORE CITY,461.8,793.5,F2,7.0,459.8,791.0,108.2,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Rural / Urban,29.0,781.5,F2,7.5,27.0,779.5,81.15,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,2-Urban,110.15,782.0,F2,7.0,108.15,779.5,108.2,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Cluster,218.35,781.5,F2,7.5,216.35,779.5,81.15,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,CPS GANESHAPURAM,299.5,782.0,F2,7.0,297.5,779.5,270.5,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Ward,29.0,770.0,F2,7.5,27.0,768.0,81.15,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,RACE COURSE - 26,110.15,770.5,F2,7.0,108.15,768.0,108.2,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Mohalla,218.35,770.0,F2,7.5,216.35,768.0,81.15,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,Pincode,407.7,770.0,F2,7.5,405.7,768.0,54.1,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,641045,461.8,770.5,F2,7.0,459.8,768.0,108.2,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Panchayat,29.0,758.5,F2,7.5,27.0,756.5,81.15,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,NA,110.15,759.0,F2,7.0,108.15,756.5,108.2,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,City,218.35,758.5,F2,7.5,216.35,756.5,81.15,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,Municipality,407.7,758.5,F2,7.5,405.7,756.5,54.1,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,Assembly Const.,29.0,747.0,F2,7.5,27.0,745.0,81.15,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,Parl. Constituency,218.35,747.0,F2,7.5,216.35,745.0,81.15,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,School Category,29.0,731.5,F2,7.5,27.0,729.5,134.25,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,3 - Pr. with Up.Pr. sec. and H.Sec.,163.25,732.0,F2,7.0,161.25,729.5,134.25,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,School Management,29.0,720.0,F2,7.5,27.0,718.0,134.25,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,5-Private Unaided \(Recognized\),163.25,720.5,F2,7.0,161.25,718.0,134.25,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,School Type,29.0,708.5,F2,7.5,27.0,706.5,134.25,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,3-Co-educational,163.25,709.0,F2,7.0,161.25,706.5,134.25,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Lowest & Highest Class,29.0,697.0,F2,7.5,27.0,695.0,134.25,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1  -   12,163.25,697.5,F2,7.0,161.25,695.0,134.25,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Pre Primary,29.0,685.5,F2,7.5,27.0,683.5,134.25,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1-Yes,163.25,686.0,F2,7.0,161.25,683.5,134.25,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Medium of Instruction,338.8,732.0,F1,7.0,299.5,730.0,151.71,11.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,Medium 1,301.5,720.5,F2,7.5,299.5,718.5,75.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,19-English,377.36,721.0,F2,7.0,375.36,718.5,75.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Medium 2,301.5,709.0,F2,7.5,299.5,707.0,75.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
