page,x,y,text,font,font_size
1,,,"",,
1,210.84,820.0,SCHOOL REPORT CARD,F1,15.0
1,29.0,804.5,UDISE CODE,F1,7.5
1,110.15,804.5,09  15  01  00  714,F1,7.5
1,218.35,804.5,School Name,F1,7.5
1,299.5,804.5,SMT G D H S SCHOOL KACHORA ACHNERA AGRA,F1,7.5
1,29.0,793.0,State,F2,7.5
1,110.15,793.5,Uttar Pradesh,F2,7.0
1,218.35,793.0,District,F2,7.5
1,299.5,793.5,AGRA,F2,7.0
1,407.7,793.0,Block,F2,7.5
1,461.8,793.5,ACCHNERA,F2,7.0
1,29.0,781.5,Rural / Urban,F2,7.5
1,110.15,782.0,1-Rural,F2,7.0
1,218.35,781.5,Cluster,F2,7.5
1,299.5,782.0,KACHORA,F2,7.0
1,29.0,770.0,Village,F2,7.5
1,110.15,770.5,KACHORA,F2,7.0
1,218.35,770.0,Habitation,F2,7.5
1,407.7,770.0,Pincode,F2,7.5
1,461.8,770.5,283101,F2,7.0
1,29.0,758.5,Panchayat,F2,7.5
1,218.35,758.5,City,F2,7.5
1,299.5,759.0,NA,F2,7.0
1,407.7,758.5,Municipality,F2,7.5
1,461.8,759.0,NA,F2,7.0
1,29.0,747.0,Assembly Const.,F2,7.5
1,218.35,747.0,Parl. Constituency,F2,7.5
1,29.0,731.5,School Category,F2,7.5
1,163.25,732.0,6 - Pr. Up Pr. and Secondary Only,F2,7.0
1,29.0,720.0,School Management,F2,7.5
1,163.25,720.5,5-Private Unaided (Recognized),F2,7.0
1,29.0,708.5,School Type,F2,7.5
1,163.25,709.0,3-Co-educational,F2,7.0
1,29.0,697.0,Lowest & Highest Class,F2,7.5
1,163.25,697.5,1  -   10,F2,7.0
1,29.0,685.5,Pre Primary,F2,7.5
1,163.25,686.0,2-No,F2,7.0
1,338.8,732.0,Medium of Instruction,F1,7.0
1,301.5,720.5,Medium 1,F2,7.5
1,377.36,721.0,04-Hindi,F2,7.0
1,301.5,709.0,Medium 2,F2,7.5
1,301.5,697.5,Medium 3,F2,7.5
1,301.5,685.75,Medium 4,F2,7.5
1,475.04,732.0,Visit of school for / by,F1,7.0
1,457.21,720.5,Acad. Inspections,F2,7.5
1,562.11,721.0,0,F2,7.0
1,457.21,709.0,CRC Coordinator,F2,7.5
1,562.11,709.5,0,F2,7.0
1,457.21,697.5,Block Level Officers,F2,7.5
1,562.11,698.0,0,F2,7.0
1,457.21,685.75,State/District Officers,F2,7.5
1,562.11,686.5,0,F2,7.0
1,29.0,670.0,Year of Establishment,F2,7.5
1,181.04,670.5,2005,F2,7.0
1,29.0,658.5,Year of Recognition-Pri.,F2,7.5
1,29.0,647.0,Year of Recognition-Upr.Pri.,F2,7.5
1,29.0,635.5,Year of Recognition-Sec.,F2,7.5
1,29.0,624.0,Year of Recognition-Higher Sec.,F2,7.5
1,29.0,612.5,"",F2,7.5
1,29.0,594.25,Affiliation Board-Sec,F2,7.5
1,112.12,594.75,2-State Board,F2,7.0
1,29.0,582.75,Affiliation Board-HSec,F2,7.5
1,112.12,583.25,2-State Board,F2,7.0
1,204.61,670.0,Is this a Shift School?,F2,7.5
1,384.3,670.5,2-No,F2,7.0
1,204.61,658.5,Building Status,F2,7.5
1,371.47,659.0,1-Private,F2,7.0
1,204.61,647.0,Boundary wall,F2,7.5
1,373.8,647.5,1-Pucca,F2,7.0
1,204.61,635.5,No.of Building Blocks,F2,7.5
1,395.58,636.0,1,F2,7.0
1,204.61,624.0,Pucca Building Blocks,F2,7.5
1,395.58,624.5,1,F2,7.0
1,204.61,612.5,Is Special School for CWSN?,F2,7.5
1,384.3,613.0,2-No,F2,7.0
1,204.61,601.0,Availability of Ramps,F2,7.5
1,384.3,601.5,2-No,F2,7.0
1,204.61,582.75,Availability of Handrails,F2,7.5
1,389.75,590.0,NA,F2,7.0
1,407.47,670.0,Anganwadi At Premises,F2,7.5
1,556.28,670.5,NA,F2,7.0
1,407.47,658.5,Anganwadi Boys,F2,7.5
1,562.11,659.0,0,F2,7.0
1,407.47,647.0,Anganwadi Girls,F2,7.5
1,562.11,647.5,0,F2,7.0
1,407.47,635.5,Anganwadi Worker,F2,7.5
1,556.28,636.0,NA,F2,7.0
1,407.47,617.25,Residential School,F2,7.5
1,540.72,624.5,3 - Non- Residenti al,F2,7.0
1,407.47,599.0,Residential Type,F2,7.5
1,407.47,587.5,Minority School,F2,7.5
1,550.83,588.0,2-No,F2,7.0
1,407.47,576.0,Approachable By All Weather Road,F2,7.5
1,547.72,576.5,1-Yes,F2,7.0
1,72.92,561.0,Toilets,F1,7.0
1,147.15,561.0,Boys,F1,7.0
1,176.33,561.0,Girls,F1,7.0
1,29.0,549.5,Total(Excluding CWSN),F2,7.5
1,164.12,550.0,2,F2,7.0
1,192.72,550.0,2,F2,7.0
1,29.0,538.0,Functional,F2,7.5
1,164.12,538.5,2,F2,7.0
1,192.72,538.5,2,F2,7.0
1,29.0,526.5,Func. CWSN Friendly,F2,7.5
1,164.12,527.0,1,F2,7.0
1,192.72,527.0,1,F2,7.0
1,29.0,515.0,Urinal,F2,7.5
1,164.12,515.5,0,F2,7.0
1,192.72,515.5,0,F2,7.0
1,29.0,503.5,Handwash Near Toilet,F2,7.5
1,178.33,504.0,1-Yes,F2,7.0
1,29.0,492.0,Handwash Facility for Meal,F2,7.5
1,178.33,492.5,1-Yes,F2,7.0
1,204.61,560.5,Total Class Rooms,F1,7.5
1,398.33,560.5,6,F1,7.5
1,204.61,549.0,In Good Condition,F2,7.5
1,398.61,549.5,6,F2,7.0
1,204.61,537.5,Needs Minor Repair,F2,7.5
1,398.61,538.0,0,F2,7.0
1,204.61,526.0,Needs Major Repair,F2,7.5
1,398.61,526.5,0,F2,7.0
1,204.61,514.5,"",F2,7.5
1,204.61,503.0,Other Rooms,F2,7.5
1,398.61,503.5,0,F2,7.0
1,204.61,491.5,Library Availability,F2,7.5
1,387.33,492.0,2-No,F2,7.0
1,204.61,480.0,Separate Room for HM,F2,7.5
1,384.22,480.5,1-Yes,F2,7.0
1,410.5,560.5,Drinking Water Available,F2,7.5
1,547.72,561.0,1-Yes,F2,7.0
1,410.5,549.0,Drinking Water Functional,F2,7.5
1,547.72,549.5,1-Yes,F2,7.0
1,410.5,537.5,Rain Water Harvesting,F2,7.5
1,550.83,538.0,2-No,F2,7.0
1,410.5,526.0,Playground Available,F2,7.5
1,547.72,526.5,1-Yes,F2,7.0
1,410.5,514.5,Furniture Availability,F2,7.5
1,554.32,515.0,100,F2,7.0
1,410.5,503.0,Electricity Availability,F2,7.5
1,504.12,503.5,1-Yes,F2,7.0
1,410.5,491.5,Solar Panel,F2,7.5
1,550.83,492.0,2-No,F2,7.0
1,410.5,480.0,Medical checkups,F2,7.5
1,550.83,480.5,2-No,F2,7.0
1,133.07,465.0,Digital Facilities (Functional),F1,7.0
1,29.0,453.5,ICT Lab,F2,7.5
1,112.31,454.0,2-No,F2,7.0
1,131.48,453.5,Internet,F2,7.5
1,211.67,454.0,1-Yes,F2,7.0
1,233.95,453.5,Desktop,F2,7.5
1,328.54,454.0,0,F2,7.0
1,29.0,442.0,Laptop,F2,7.5
1,123.58,442.5,0,F2,7.0
1,131.48,442.0,Tablet,F2,7.5
1,226.06,442.5,0,F2,7.0
1,233.95,442.0,Printer,F2,7.5
1,328.54,442.5,0,F2,7.0
1,29.0,430.25,Projector,F2,7.5
1,123.58,431.0,0,F2,7.0
1,131.48,430.25,DTH,F2,7.5
1,214.78,431.0,2-No,F2,7.0
1,233.95,430.25,DigiBoard,F2,7.5
1,328.54,431.0,0,F2,7.0
1,346.35,464.75,"No.of Students Received (DCF 5.1 , 5.2)",F1,7.0
1,486.96,464.5,Primary,F2,7.5
1,526.04,464.5,Up.Primary,F2,7.5
1,340.43,453.0,Free text books,F2,7.5
1,518.15,453.5,0,F2,7.0
1,562.11,453.5,0,F2,7.0
1,340.43,441.5,Transport,F2,7.5
1,518.15,442.0,0,F2,7.0
1,562.11,442.0,0,F2,7.0
1,340.43,430.0,Free uniform,F2,7.5
1,518.15,430.5,0,F2,7.0
1,562.11,430.5,0,F2,7.0
1,157.4,415.0,SMC & SMDC Information,F1,7.0
1,29.0,403.5,SMC Exists,F2,7.5
1,146.57,403.5,SMC & SMDC Same,F2,7.5
1,250.42,404.0,NA,F2,7.0
1,264.14,403.5,SMDC Constituted,F2,7.5
1,29.0,392.0,Text Books Received,F2,7.5
1,146.57,392.0,Special Training,F2,7.5
1,264.14,392.0,Material for Training,F2,7.5
1,106.43,381.0,Grants Details under Samagra Shiksha (DCF Sl. No.  8.3),F1,7.0
1,29.0,369.0,Grants Receipt,F2,7.5
1,181.36,369.5,0.0,F2,7.0
1,195.09,369.0,Grants Expenditure,F2,7.5
1,361.63,369.5,0.0,F2,7.0
1,401.48,414.75,Indicators,F1,7.0
1,461.06,414.5,Pri.,F2,7.5
1,488.3,414.5,Up.Pri,F2,7.5
1,515.53,414.5,Sec.,F2,7.5
1,542.77,414.5,H.Sec,F2,7.5
1,379.36,403.0,Instructional days,F2,7.5
1,480.4,403.5,0,F2,7.0
1,499.85,403.5,220,F2,7.0
1,527.09,403.5,220,F2,7.0
1,562.11,403.5,0,F2,7.0
1,379.36,391.5,Avg.School hrs.Std.,F2,7.5
1,474.57,392.0,0.0,F2,7.0
1,501.8,392.0,6.0,F2,7.0
1,529.04,392.0,6.0,F2,7.0
1,556.27,392.0,0.0,F2,7.0
1,379.36,380.0,Avg.School hrs.Tch.,F2,7.5
1,474.57,380.5,0.0,F2,7.0
1,501.8,380.5,6.3,F2,7.0
1,529.04,380.5,6.3,F2,7.0
1,556.27,380.5,0.0,F2,7.0
1,379.36,368.5,CCE,F2,7.5
1,469.13,369.0,2-No,F2,7.0
1,493.25,369.0,1-Yes,F2,7.0
1,520.48,369.0,1-Yes,F2,7.0
1,72.67,353.5,Total no. of Students Enrolled Under Section 12 of the RTE Act In Private Unaided and Specified Category Schools (DCF Sl. No. 1.42(a)),F1,7.0
1,43.5,341.5,Pre-Pri.,F2,8.0
1,104.94,341.5,Class I,F2,8.0
1,163.94,341.5,Class II,F2,8.0
1,222.94,341.5,Class III,F2,8.0
1,282.61,341.5,Class IV,F2,8.0
1,343.83,341.5,Class V,F2,8.0
1,402.83,341.5,Class VI,F2,8.0
1,461.83,341.5,Class VII,F2,8.0
1,520.83,341.5,Class VIII,F2,8.0
1,39.36,329.5,B,F2,8.0
1,68.97,329.5,G,F2,8.0
1,99.47,329.5,B,F2,8.0
1,129.08,329.5,G,F2,8.0
1,159.58,329.5,B,F2,8.0
1,189.19,329.5,G,F2,8.0
1,219.69,329.5,B,F2,8.0
1,249.3,329.5,G,F2,8.0
1,279.8,329.5,B,F2,8.0
1,309.42,329.5,G,F2,8.0
1,339.92,329.5,B,F2,8.0
1,369.53,329.5,G,F2,8.0
1,400.03,329.5,B,F2,8.0
1,429.64,329.5,G,F2,8.0
1,460.14,329.5,B,F2,8.0
1,489.75,329.5,G,F2,8.0
1,520.25,329.5,B,F2,8.0
1,549.86,329.5,G,F2,8.0
1,52.72,318.5,-,F2,7.0
1,82.78,318.5,-,F2,7.0
1,112.84,318.5,-,F2,7.0
1,142.89,318.5,-,F2,7.0
1,172.95,318.5,-,F2,7.0
1,203.0,318.5,-,F2,7.0
1,233.06,318.5,-,F2,7.0
1,263.11,318.5,-,F2,7.0
1,293.17,318.5,-,F2,7.0
1,323.22,318.5,-,F2,7.0
1,353.28,318.5,-,F2,7.0
1,383.34,318.5,-,F2,7.0
1,413.39,318.5,-,F2,7.0
1,443.45,318.5,-,F2,7.0
1,473.5,318.5,-,F2,7.0
1,503.56,318.5,-,F2,7.0
1,533.61,318.5,-,F2,7.0
1,563.67,318.5,-,F2,7.0
1,132.58,303.5,Total no. of Economically Weaker Section*(EWS) students Enrolled in Schools (DCF Sl. No. 1.42(b)),F1,7.0
1,38.96,291.5,Pre-Pri.,F2,8.0
1,86.23,291.5,Class I,F2,8.0
1,125.95,291.5,Class II,F2,8.0
1,165.67,291.5,Class III,F2,8.0
1,206.05,291.5,Class IV,F2,8.0
1,247.99,291.5,Class V,F2,8.0
1,287.71,291.5,Class VI,F2,8.0
1,327.43,291.5,Class VII,F2,8.0
