page,text,text_x,text_y,font,font_size,rect_x,rect_y,rect_width,rect_height,stroke_color,fill_color,line_width
1,SCHOOL REPORT CARD,210.84,820.0,F1,15.0,,,,,,,
1,Academic Year : 2022-23,450.0,820.0,F1,9.0,,,,,,,
1,UDISE CODE,29.0,804.5,F1,7.5,27.0,802.5,81.15,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,07  06  01  07  902,110.15,804.5,F1,7.5,108.15,802.5,108.2,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,School Name,218.35,804.5,F1,7.5,216.35,802.5,81.15,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,"Govt. Sarvodaya Kanya Vidyalaya No.1 (Hindi Medium), Jama Masjid, Delhi",299.5,804.5,F1,7.5,297.5,802.5,270.5,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,State,29.0,793.0,F2,7.5,27.0,791.0,81.15,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,Delhi,110.15,793.5,F2,7.0,108.15,791.0,108.2,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,District,218.35,793.0,F2,7.5,216.35,791.0,81.15,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,CENTRAL,299.5,793.5,F2,7.0,297.5,791.0,108.2,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Block,407.7,793.0,F2,7.5,405.7,791.0,54.1,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,DOE ZONE-27,461.8,793.5,F2,7.0,459.8,791.0,108.2,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Rural / Urban,29.0,778.25,F2,7.5,27.0,773.0,81.15,18.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,2-Urban,110.15,782.0,F2,7.0,108.15,773.0,108.2,18.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Cluster,218.35,778.25,F2,7.5,216.35,773.0,81.15,18.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,"2162037-North DMC Primary School (Boys) ,  Faiz Bazar, Near Darya Ganj Post Office, New Delhi",299.5,782.0,F2,7.0,297.5,773.0,270.5,18.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Ward,29.0,763.5,F2,7.5,27.0,761.5,81.15,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,084-N (Chandni Chowk),110.15,764.0,F2,7.0,108.15,761.5,108.2,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Mohalla,218.35,763.5,F2,7.5,216.35,761.5,81.15,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,"",,,,,297.5,761.5,108.2,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Pincode,407.7,763.5,F2,7.5,405.7,761.5,54.1,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,110006,461.8,764.0,F2,7.0,459.8,761.5,108.2,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Panchayat,29.0,752.0,F2,7.5,27.0,750.0,81.15,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,NA,110.15,752.5,F2,7.0,108.15,750.0,108.2,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,City,218.35,752.0,F2,7.5,216.35,750.0,81.15,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,"",,,,,297.5,750.0,108.2,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Municipality,407.7,752.0,F2,7.5,405.7,750.0,54.1,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,"",,,,,459.8,750.0,108.2,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Assembly Const.,29.0,740.5,F2,7.5,27.0,738.5,81.15,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,"",,,,,108.15,738.5,108.2,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Parl. Constituency,218.35,740.5,F2,7.5,216.35,738.5,81.15,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,"",,,,,297.5,738.5,270.5,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Medium of Instruction,338.8,725.5,F1,7.0,299.5,723.5,151.71,11.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,Visit of school for / by,475.04,725.5,F1,7.0,455.21,723.5,112.79,11.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,School Category,29.0,725.0,F2,7.5,27.0,723.0,134.25,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,3 - Pr. with Up.Pr. sec. and H.Sec.,163.25,725.5,F2,7.0,161.25,723.0,134.25,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Medium 1,301.5,714.0,F2,7.5,299.5,712.0,75.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,04-Hindi,377.36,714.5,F2,7.0,375.36,712.0,75.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Acad. Inspections,457.21,714.0,F2,7.5,455.21,712.0,80.56,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,5,562.11,714.5,F2,7.0,535.78,712.0,32.22,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,School Management,29.0,713.5,F2,7.5,27.0,711.5,134.25,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1-Department of Education,163.25,714.0,F2,7.0,161.25,711.5,134.25,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Medium 2,301.5,702.5,F2,7.5,299.5,700.5,75.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,19-English,377.36,703.0,F2,7.0,375.36,700.5,75.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,CRC Coordinator,457.21,702.5,F2,7.5,455.21,700.5,80.56,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,25,558.22,703.0,F2,7.0,535.78,700.5,32.22,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,School Type,29.0,702.0,F2,7.5,27.0,700.0,134.25,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,2-Girls,163.25,702.5,F2,7.0,161.25,700.0,134.25,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Medium 3,301.5,691.0,F2,7.5,299.5,689.0,75.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,"",,,,,375.36,689.0,75.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Block Level Officers,457.21,691.0,F2,7.5,455.21,689.0,80.56,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,5,562.11,691.5,F2,7.0,535.78,689.0,32.22,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Lowest & Highest Class,29.0,690.5,F2,7.5,27.0,688.5,134.25,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1  -   12,163.25,691.0,F2,7.0,161.25,688.5,134.25,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Pre Primary,29.0,679.0,F2,7.5,27.0,677.0,134.25,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1-Yes,163.25,679.5,F2,7.0,161.25,677.0,134.25,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Medium 4,301.5,679.25,F2,7.5,299.5,677.0,75.86,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,"",,,,,375.36,677.0,75.86,12.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,State/District Officers,457.21,679.25,F2,7.5,455.21,677.0,80.56,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,4,562.11,680.0,F2,7.0,535.78,677.0,32.22,12.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Year of Establishment,29.0,663.5,F2,7.5,27.0,661.5,140.0,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1945,181.04,664.0,F2,7.0,167.0,661.5,31.61,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Is this a Shift School?,204.61,663.5,F2,7.5,202.61,661.5,120.0,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
