page,x,y,width,height,stroke_color,fill_color,line_width
1,25.0,736.5,545.0,79.5,0 G,0 g,0.5
1,27.0,802.5,81.15,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,108.15,802.5,108.2,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,216.35,802.5,81.15,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,297.5,802.5,270.5,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,27.0,791.0,81.15,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,108.15,791.0,108.2,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,216.35,791.0,81.15,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,297.5,791.0,108.2,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,405.7,791.0,54.1,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,459.8,791.0,108.2,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,27.0,773.0,81.15,18.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,108.15,773.0,108.2,18.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,216.35,773.0,81.15,18.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,297.5,773.0,270.5,18.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,27.0,761.5,81.15,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,108.15,761.5,108.2,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,216.35,761.5,81.15,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,297.5,761.5,108.2,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,405.7,761.5,54.1,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,459.8,761.5,108.2,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,27.0,750.0,81.15,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,108.15,750.0,108.2,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,216.35,750.0,81.15,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,297.5,750.0,108.2,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,405.7,750.0,54.1,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,459.8,750.0,108.2,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,27.0,738.5,81.15,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,108.15,738.5,108.2,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,216.35,738.5,81.15,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,297.5,738.5,270.5,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
